课程名称,课程类别,课程形式,课程编号,课程时长,URL,事故类型
车辆伤害-隧道开挖应急明白,应急明白类课程,3D动画,CM6014,02:28,https://www.zhkjdream.com/app/course/detail/157868259_157824020,交通事故
触电-隧道开挖应急明白,应急明白类课程,3D动画,CM6011,01:42,https://www.zhkjdream.com/app/course/detail/157868256_157824023,触电事故
高处坠落-隧道开挖应急明白,应急明白类课程,3D动画,CM6005,01:52,https://www.zhkjdream.com/app/course/detail/157868250_157824029,高处坠落事故
冒顶片帮-隧道开挖应急明白,应急明白类课程,3D动画,CM5993,01:50,https://www.zhkjdream.com/app/course/detail/157868238_157824041,冒顶片帮事故
气体中毒-隧道开挖应急明白,应急明白类课程,3D动画,CM5973,02:10,https://www.zhkjdream.com/app/course/detail/157868218_157824061,中毒窒息事故
坍塌-隧道开挖应急明白,应急明白类课程,3D动画,CM5985,01:59,https://www.zhkjdream.com/app/course/detail/157868230_157824049,隧道坍塌事故
突泥突水 _隧道开挖应急明白,应急明白类课程,3D动画,CM5994,02:05,https://www.zhkjdream.com/app/course/detail/157868239_157824040,透水事故
高处坠落-承台施工应急明白,应急明白类课程,3D动画,CM6001,02:00,https://www.zhkjdream.com/app/course/detail/157868246_157824033,高处坠落事故
机械伤害-承台施工应急明白,应急明白类课程,3D动画,CM5981,01:58,https://www.zhkjdream.com/app/course/detail/157868226_157824053,机械伤害事故
物体打击-承台施工应急明白,应急明白类课程,3D动画,CM5991,01:54,https://www.zhkjdream.com/app/course/detail/157868236_157824043,物体打击事故
触电_挂篮施工应急明白,应急明白类课程,3D动画,CM6008,01:39,http://zhkjdream.com/app/course/detail/157868253_157824026,触电事故
高处坠落_挂篮施工应急明白,应急明白类课程,3D动画,CM5995,01:59,https://www.zhkjdream.com/app/course/detail/157868240_157824039,高处坠落事故
机械伤害_挂篮施工应急明白,应急明白类课程,3D动画,CM5977,02:05,https://www.zhkjdream.com/app/course/detail/157868222_157824057,机械伤害事故
设备倾覆_挂篮施工应急明白,应急明白类课程,3D动画,CM6013,01:52,https://www.zhkjdream.com/app/course/detail/157868258_157824021,设备倾覆事故
物体打击_挂篮施工应急明白,应急明白类课程,3D动画,CM5987,02:03,https://www.zhkjdream.com/app/course/detail/157868232_157824047,物体打击事故
高处坠落-基础钢筋 混凝土施工应急明白,应急明白类课程,3D动画,CM6002,02:01,https://www.zhkjdream.com/app/course/detail/157868247_157824032,高处坠落事故
机械伤害-基础钢筋 混凝土施工应急明白,应急明白类课程,3D动画,CM5982,01:59,https://www.zhkjdream.com/app/course/detail/157868227_157824052,机械伤害事故
物体打击-基础钢筋 混凝土施工应急明白,应急明白类课程,3D动画,CM5992,01:56,https://www.zhkjdream.com/app/course/detail/157868237_157824042,物体打击事故
触电-下构立柱钢筋模板应急明白,应急明白类课程,3D动画,CM6009,01:42,https://www.zhkjdream.com/app/course/detail/157868254_157824025,触电事故
高处坠落-下构立柱钢筋模板应急明白,应急明白类课程,3D动画,CM5998,02:12,https://www.zhkjdream.com/app/course/detail/157868243_157824036,高处坠落事故
物体打击-下构立柱钢筋模板应急明白,应急明白类课程,3D动画,CM5989,02:10,https://www.zhkjdream.com/app/course/detail/157868234_157824045,物体打击事故
高处坠落-下构立柱混凝土施工应急明白,应急明白类课程,3D动画,CM5997,02:01,https://www.zhkjdream.com/app/course/detail/157868242_157824037,高处坠落事故
物体打击-下构立柱混凝土施工应急明白,应急明白类课程,3D动画,CM5988,01:50,https://www.zhkjdream.com/app/course/detail/157868233_157824046,物体打击事故
模板倾覆_下构盖梁混凝土施工应急明白,应急明白类课程,3D动画,CM6012,01:52,https://www.zhkjdream.com/app/course/detail/157868257_157824022,设备倾覆事故
基坑坍塌-下构承台施工应急明白,应急明白类课程,3D动画,CM6006,02:09,http://zhkjdream.com/app/course/detail/157868251_157824028,基坑坍塌事故
窒息-箱梁预制应急明白,应急明白类课程,3D动画,CM7608,01:49,https://www.zhkjdream.com/app/course/detail/157869853_157822426,中毒窒息事故
触电急救,应急明白类课程,3D动画,CM9752,01:08,https://www.zhkjdream.com/app/course/detail/157871997_157820282,触电事故
溺水急救,应急明白类课程,3D动画,CM9740,01:09,https://www.zhkjdream.com/app/course/detail/157871985_157820294,淹溺事故
气体中毒及窒息急救,应急明白类课程,3D动画,CM9728,00:55,https://www.zhkjdream.com/app/course/detail/157871973_157820306,中毒窒息事故
心肺复苏2,应急明白类课程,3D动画,CM9716,02:18,https://www.zhkjdream.com/app/course/detail/157871961_157820318,心肺复苏
中暑急救2,应急明白类课程,3D动画,CM9704,00:50,https://www.zhkjdream.com/app/course/detail/157871949_157820330,中暑急救
紧急电话2,应急明白类课程,3D动画,CM9784,00:58,https://www.zhkjdream.com/app/course/detail/157872029_157820250,紧急电话
止血包扎2,应急明白类课程,3D动画,CM11603,01:00,https://www.zhkjdream.com/app/course/detail/157873848_157818431,止血包扎
烧伤急救,应急明白类课程,3D动画,CM11616,01:09,https://www.zhkjdream.com/app/course/detail/157873861_157818418,灼烫事故
物体打击2,应急明白类课程,3D动画,CM17267,01:44,https://www.zhkjdream.com/app/course/detail/157879512_157812767,物体打击事故
高处坠落2,应急明白类课程,3D动画,CM6243,01:17,https://www.zhkjdream.com/app/course/detail/157868488_157823791,高处坠落事故
机械伤害2,应急明白类课程,3D动画,CM6159,01:33,https://www.zhkjdream.com/app/course/detail/157868404_157823875,机械伤害事故
暴雨应急指南,应急明白类课程,,GFE.B.1,06:52,https://www.bilibili.com/video/BV1vv411K7TN?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,淹溺事故
