课程名称,课程类别,课程形式,课程编号,课程时长,URL,,
云南省楚雄州某药厂挖孔桩工程中毒事故,事故案例,,SGAL.D.12,03:17,https://v.douyin.com/pRNXC7mwQYs/,,
旋挖钻机倒塌事故,事故案例,,SGAL.D.13,00:40,https://v.douyin.com/ad_2O8QdkBE/,,
电焊焊渣熔珠引发的一场灾难,事故案例,,SGAL.D.14,02:27,https://v.douyin.com/3cjjKyRBUKs/,,
气割作业导致瓦斯燃烧烧伤亡事故安全警示视频,事故案例,,SGAL.D.15,04:54,https://v.douyin.com/xseHv4moZtQ/,,
恶劣天气吊篮事故合集,事故案例,,SGAL.D.16,02:02,https://v.douyin.com/Bs99qUvD7Zk/,,
摸黑走路不可取,事故案例,,SGAL.D.17,00:31,https://v.douyin.com/1mm7SpD4PUU/,,
有限空间工人作业时缺氧窒息死亡,事故案例,,SGAL.D.18,01:05,https://v.douyin.com/oYbBcC09fRM/,,
事故警示！工人操作不当，危险化学品运输车突发爆燃,事故案例,,SGAL.D.19,00:40,https://v.douyin.com/IwbsbIITzuk/,,
爆破施工事故案例，警示教育！,事故案例,,SGAL.D.20,01:59,https://v.douyin.com/Ub7BF-kZfh0/,,
盘点挖掘机事故大型翻车现场,事故案例,,SGAL.D.21,04:36,https://v.douyin.com/oeCkgsKZpOo/,,
压路机事故案例三维动画演示,事故案例,,SGAL.D.22,00:54,https://v.douyin.com/L5mcXjLuv0U/,,
混凝土泵车泵臂断裂事故,事故案例,,SGAL.D.23,05:36,https://v.douyin.com/knKjagRWBNw/,,
塔吊作业安全教育,事故案例,,SGAL.D.24,02:08,https://v.douyin.com/wSkcV7woHco/,,
梁板施工-锚夹片弹出伤人事故案例,事故案例,,SGAL.D.25,02:38,https://v.douyin.com/qzPwIOxc-xQ/,,
边坡挡护施工高坠事故,事故案例,,SGAL.D.26,02:08,https://v.douyin.com/SlbqIyDARv8/,,
桥面护栏施工高坠事故,事故案例,,SGAL.D.27,01:51,https://v.douyin.com/zO_SptcRL-E/,,
支模架坍塌事故警示教育,事故案例,,SGAL.D.28,02:45,https://v.douyin.com/jH8N8mZuUM8/,,
某企业“ 9·27”冒顶片帮事故,事故案例,,SGAL.D.29,03:06,https://v.douyin.com/7K5pvcy7_5k/,,
江北新区“3.13”起重伤害事故,事故案例,,SGAL.D.30,03:02,https://v.douyin.com/dv1nsZYFLuk/,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
