课程名称,课程类别,课程形式,课程编号,课程时长,URL,危险源,,
钢筋弯曲机作业风险提示卡,风险提示类课程,3D动画,GFC.1.45,03:00,,钢筋弯曲机作业,,
钢筋调直机作业风险提示卡,风险提示类课程,3D动画,GFC.1.46,02:00,,钢筋调直机作业,,
钢筋切断机作业风险提示卡,风险提示类课程,3D动画,GFC.1.47,02:41,,钢筋切断机作业,,
插入式振捣器作业风险提示卡,风险提示类课程,3D动画,GFC.1.48,02:44,https://www.zhkjdream.com/app/course/detail/157875947_157816332,插入式振捣器作业,,
塔吊作业风险提示卡,风险提示类课程,3D动画,GFC.1.49,03:45,,塔吊作业,,
门式起重机作业风险提示卡,风险提示类课程,3D动画,GFC.1.50,01:55,,门式起重机作业,,
施工升降机作业风险提示卡,风险提示类课程,3D动画,GFC.1.51,03:20,,施工升降机作业,,
架桥机作业风险提示卡,风险提示类课程,3D动画,GFC.1.52,02:04,,架桥机作业,,
浮吊作业风险提示卡,风险提示类课程,3D动画,GFC.1.53,01:23,,浮吊作业,,
爬模施工风险提示卡,风险提示类课程,3D动画,GFC.1.54,03:12,https://www.zhkjdream.com/app/course/detail/157868875_157823404,爬模作业,,
翻模施工风险提示卡,风险提示类课程,3D动画,GFC.1.55,03:13,https://www.zhkjdream.com/app/course/detail/157873757_157818522,翻模作业,,
悬臂模板施工风险提示卡,风险提示类课程,3D动画,GFC.1.56,02:01,,悬臂模板作业,,
挂篮施工风险提示卡,风险提示类课程,3D动画,GFC.1.58,02:52,https://www.zhkjdream.com/app/course/detail/157871666_157820613,挂篮作业,,
钢管柱及贝雷架施工风险提示卡,风险提示类课程,3D动画,GFC.1.59,01:13,,钢管柱及贝雷架作业,,
钢栈桥、钢平台施工风险提示卡,风险提示类课程,3D动画,GFC.1.60,01:46,,钢栈桥、钢平台作业,,
办公区、生活区风险提示卡,风险提示类课程,3D动画,GFC.1.61,02:25,,办公区、生活区作业,,
拌合厂风险提示卡,风险提示类课程,3D动画,GFC.1.62,02:20,https://www.zhkjdream.com/app/course/detail/157876498_157815781,拌合厂作业,,
钢筋加工厂风险提示卡,风险提示类课程,3D动画,GFC.1.63,01:06,https://www.zhkjdream.com/app/course/detail/157876512_157815767,钢筋加工厂作业,,
预制厂风险提示卡,风险提示类课程,3D动画,GFC.1.64,01:59,,预制厂作业,,
构造物拆除风险提示卡,风险提示类课程,3D动画,GFC.2.1,05:08,,构造物拆除作业,,
砍伐树木作业风险提示卡,风险提示类课程,3D动画,GFC.2.2,02:56,,砍伐树木作业,,
取土场风险提示卡,风险提示类课程,3D动画,GFC.2.3,02:57,,取土场作业,,
土方开挖风险提示卡,风险提示类课程,3D动画,GFC.2.4,03:24,https://www.zhkjdream.com/app/course/detail/157869202_157823077,土方开挖作业,,
石方爆破风险提示卡,风险提示类课程,3D动画,GFC.2.5,03:05,,石方爆破作业,,
路基排水施工风险提示卡,风险提示类课程,3D动画,GFC.2.6,03:23,,排水沟砌筑作业,,
土石方填筑风险提示卡,风险提示类课程,3D动画,GFC.2.7,03:37,,土石方填筑作业,,
护坡与挡土墙施工风险提示卡,风险提示类课程,3D动画,GFC.2.8,03:54,https://www.zhkjdream.com/app/course/detail/157879545_157812734,护坡与挡土墙作业,,
锚杆（索）框架梁风险提示卡,风险提示类课程,3D动画,GFC.2.9,04:23,https://www.zhkjdream.com/app/course/detail/157868367_157823912,锚杆（索）框架梁作业,,
大型挡土墙、组合式挡土墙施工风险提示卡,风险提示类课程,3D动画,GFC.2.10,01:51,,墙体作业,,
强夯施工风险提示卡,风险提示类课程,3D动画,GFC.2.11,02:59,https://www.zhkjdream.com/app/course/detail/157868166_157824113,强夯作业,,
砂石换填施工风险提示卡,风险提示类课程,3D动画,GFC.2.12,03:21,https://www.zhkjdream.com/app/course/detail/157874723_157817556,砂石换填作业,,
抛石挤淤施工风险提示卡,风险提示类课程,3D动画,GFC.2.13,01:21,,抛石挤淤作业,,
碎石桩施工风险提示卡,风险提示类课程,3D动画,GFC.2.14,01:55,,碎石桩作业,,
CFG桩施工风险提示卡,风险提示类课程,3D动画,GFC.2.15,01:58,,CFG桩作业,,
路基拓宽施工风险提示卡,风险提示类课程,3D动画,GFC.2.23,04:09,,路基拓宽作业,,
涵洞接长施工风险提示卡,风险提示类课程,3D动画,GFC.2.24,02:17,,涵洞接长作业,,
稳定土拌合风险提示卡,风险提示类课程,3D动画,GFC.3.1,02:40,https://www.zhkjdream.com/app/course/detail/157875928_157816351,稳定土拌合作业,,
沥青砼拌合风险提示卡,风险提示类课程,3D动画,GFC.3.2,03:04,,沥青砼拌合作业,,
透层、粘层沥青洒布风险提示卡,风险提示类课程,3D动画,GFC.3.3,01:48,https://www.zhkjdream.com/app/course/detail/157875776_157816503,透层、粘层沥青洒布作业,,
运输摊铺碾压风险提示卡,风险提示类课程,3D动画,GFC.3.4,03:32,,摊铺碾压作业,,
钢板（管）桩施工风险提示卡,风险提示类课程,3D动画,GFC.4.1,03:56,,钢板（管）桩作业,,
钢围堰施工品风险提示卡,风险提示类课程,3D动画,GFC.4.3,01:45,https://www.zhkjdream.com/app/course/detail/157868362_157823917,钢围堰作业,,
承台施工风险提示卡,风险提示类课程,3D动画,GFC.4.4,01:19,https://www.zhkjdream.com/app/course/detail/157868295_157823984,承台作业,,
桥墩、桥台施工风险提示卡,风险提示类课程,3D动画,GFC.4.5,04:30,,桥墩、桥台作业,,
盖梁施工风险提示卡,风险提示类课程,3D动画,GFC.4.6,01:15,,盖梁作业,,
梁板预制风险提示卡,风险提示类课程,3D动画,GFC.4.8,02:10,https://www.zhkjdream.com/app/course/detail/157868331_157823948,梁板预制作业,,
梁板架设风险提示卡,风险提示类课程,3D动画,GFC.4.9,04:28,https://www.zhkjdream.com/app/course/detail/157868302_157823977,梁板架设作业,,
预应力张拉风险提示卡,风险提示类课程,3D动画,GFC.4.10,02:21,https://www.zhkjdream.com/app/course/detail/157868365_157823914,预应力筋张拉作业,,
预应力压浆风险提示卡,风险提示类课程,3D动画,GFC.4.11,01:34,https://www.zhkjdream.com/app/course/detail/157868199_157824080,预应力压浆作业,,
悬臂拼装风险提示卡,风险提示类课程,3D动画,GFC.4.12,02:11,https://www.zhkjdream.com/app/course/detail/157873599_157818680,悬臂拼装作业,,
悬臂浇筑施工施工风险提示卡,风险提示类课程,3D动画,GFC.4.15,01:43,https://www.zhkjdream.com/app/course/detail/157873599_157818680,悬臂浇筑作业,,
